id;nom_art;fech_nac;fech_defu;pais_origen;estilo_art;epoca
1;iniciativa Joyería maximize;Mercados navigating;Gris 1080p drive;Deportes bypassing Monitorizado;Informática Madera;Fantástico
2;de;en;Granito;e-services;Rojo payment Salud;Videojuegos Moroccan
3;Teclado Enfocado fritas;Joyería;Marroquinería;grow Luxemburgo;array;Irlanda Calleja Silla
4;target;Kenyan;extensible Inteligente;payment Diverso RSS;ROI;Metal
5;Toallas Refinado;input seamless Ladrillo;solución Ladrillo scale;Toallas Calidad;Hormigon PNG;Inverso fidelidad
6;Pollo;Genérico;neural Bedfordshire;Ergonómico proceso;Atún granular;Loan Analista
7;deposit compressing;Account payment;bandwidth;arquitectura;invoice Normas Granito;Gerente eyeballs
8;HDD;global Plástico;Pescado trabajo;extensible quantifying;hard;Cataluña Plástico up
9;Madera;Avon hacking Soluciones;empower Borders;bypassing payment system;Artesanal Ladrillo Cine;Canarias
10;Ergonómico metódica;migración;value-added;Algodón Castilla-La India;Account Director Persistente;bluetooth indexing
